RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type,Na_Mg_ratio,Ca_Si_ratio,Alkali_total,Heavy_minerals,Mg_Al_interaction,Na_Ca_interaction,log_Ba,log_Fe,Composition_score
1.52101,13.64,4.49,1.1,71.78,0.06,8.75,0.0,0.0,1,3.0378612387836883,0.12190024906798204,13.700000000000001,0.0,4.939000000000001,119.35000000000001,0.0,0.0,99.82000000000001
1.51761,13.89,3.6,1.36,72.73,0.48,7.83,0.0,0.0,1,3.858332261574372,0.10765846132739638,14.370000000000001,0.0,4.896000000000001,108.7587,0.0,0.0,99.89000000000001
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,1,3.8112665320375965,0.1065899423675854,13.92,0.0,5.467,105.2634,0.0,0.0,99.77999999999999
1.51766,13.21,3.69,1.29,72.61,0.57,8.22,0.0,0.0,1,3.579944829283244,0.1132075456106935,13.780000000000001,0.0,4.7601,108.58620000000002,0.0,0.0,99.58999999999999
1.51742,13.27,3.62,1.24,73.08,0.55,8.07,0.0,0.0,1,3.665744843716894,0.11042692788140494,13.82,0.0,4.4888,107.0889,0.0,0.0,99.82999999999998
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,1,3.54293530666612,0.11059339303010289,13.43,0.26,5.8482,103.2153,0.0,0.2311117209633866,99.96
1.51743,13.3,3.6,1.14,73.09,0.58,8.17,0.0,0.0,1,3.6944434182101618,0.11177999573430024,13.88,0.0,4.104,108.661,0.0,0.0,99.88000000000001
1.51756,13.15,3.61,1.05,73.24,0.57,8.24,0.0,0.0,1,3.642658270731781,0.11250682533442348,13.72,0.0,3.7905,108.35600000000001,0.0,0.0,99.85999999999999
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,1,3.921786614026085,0.11514983192078482,14.6,0.0,4.9046,116.532,0.0,0.0,99.92999999999999
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,1,3.61111010802497,0.11508425654083772,13.57,0.11,4.896000000000001,109.2,0.0,0.10436001532424286,100.02999999999999
1.51571,12.72,3.46,1.56,73.2,0.67,8.09,0.0,0.24,1,3.6762995155203715,0.110519124173236,13.39,0.24,5.3976,102.90480000000001,0.0,0.2151113796169455,99.94
1.51763,12.8,3.66,1.27,73.01,0.6,8.56,0.0,0.0,1,3.4972668040254633,0.1172442115156251,13.4,0.0,4.6482,109.56800000000001,0.0,0.0,99.9
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,1,3.7551009460347093,0.10985261858825576,13.57,0.24,4.802,103.68400000000001,0.0,0.2151113796169455,99.97
1.51748,12.86,3.56,1.27,73.21,0.54,8.38,0.0,0.17,1,3.6123585358543435,0.11446523542596321,13.399999999999999,0.17,4.5212,107.7668,0.0,0.1570037488096647,99.99
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,1,3.512533840519821,0.11597762155849882,13.19,0.0,4.7029,107.185,0.0,0.0,99.88000000000001
1.51761,12.81,3.54,1.23,73.24,0.58,8.39,0.0,0.0,1,3.6186430455810603,0.11455488647522002,13.39,0.0,4.3542,107.47590000000001,0.0,0.0,99.78999999999999
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,1,3.455039930506831,0.1189987673505845,13.29,0.0,4.257199999999999,110.31599999999999,0.0,0.0,99.93
1.52196,14.36,3.85,0.89,71.36,0.15,9.15,0.0,0.0,1,3.7298691610729446,0.12822309237355534,14.51,0.0,3.4265000000000003,131.394,0.0,0.0,99.76000000000002
1.51911,13.9,3.73,1.18,72.12,0.06,8.89,0.0,0.0,1,3.7265405558872504,0.12326677588371082,13.96,0.0,4.4014,123.57100000000001,0.0,0.0,99.88000000000001
1.51735,13.02,3.54,1.69,72.73,0.54,8.44,0.0,0.07,1,3.6779650627217335,0.11604564669262138,13.559999999999999,0.07,5.9826,109.88879999999999,0.0,0.06765864847381486,100.03
1.5175,12.82,3.55,1.49,72.75,0.54,8.52,0.0,0.19,1,3.611266588375609,0.11711340045204947,13.36,0.19,5.289499999999999,109.2264,0.0,0.17395330712343798,99.86
1.51966,14.77,3.75,0.29,72.02,0.03,9.0,0.0,0.0,1,3.9386656163558356,0.1249652856850141,14.799999999999999,0.0,1.0875,132.93,0.0,0.0,99.86
